"cnty_fips","display_name","Value","theme_range"
08053,"""Hinsdale, (CO)""",70,"61.9 - 70.5 (645)"
08067,"""La Plata, (CO)""",71.8,"70.6 - 77.9 (646)"
08077,"""Mesa, (CO)""",72.4,"70.6 - 77.9 (646)"
08079,"""Mineral, (CO)""",72.5,"70.6 - 77.9 (646)"
08081,"""Moffat, (CO)""",59.3,"0.0 - 61.8 (645)"
08083,"""Montezuma, (CO)""",70.3,"61.9 - 70.5 (645)"
08085,"""Montrose, (CO)""",51.1,"0.0 - 61.8 (645)"
08091,"""Ouray, (CO)""",43.2,"0.0 - 61.8 (645)"
08097,"""Pitkin, (CO)""",25.7,"0.0 - 61.8 (645)"
08103,"""Rio Blanco, (CO)""",58.3,"0.0 - 61.8 (645)"
08107,"""Routt, (CO)""",51.6,"0.0 - 61.8 (645)"
08111,"""San Juan, (CO)""",65.6,"61.9 - 70.5 (645)"
08113,"""San Miguel, (CO)""",42.9,"0.0 - 61.8 (645)"
16001,"""Ada, (ID)""",69.3,"61.9 - 70.5 (645)"
16005,"""Bannock, (ID)""",81.8,"78.0 - 88.4 (638)"
16007,"""Bear Lake, (ID)""",60.9,"0.0 - 61.8 (645)"
16011,"""Bingham, (ID)""",77.7,"70.6 - 77.9 (646)"
16013,"""Blaine, (ID)""",64.4,"61.9 - 70.5 (645)"
16015,"""Boise, (ID)""",67.6,"61.9 - 70.5 (645)"
16019,"""Bonneville, (ID)""",68.3,"61.9 - 70.5 (645)"
16023,"""Butte, (ID)""",68.7,"61.9 - 70.5 (645)"
16025,"""Camas, (ID)""",71.8,"70.6 - 77.9 (646)"
16027,"""Canyon, (ID)""",69.1,"61.9 - 70.5 (645)"
16029,"""Caribou, (ID)""",75.5,"70.6 - 77.9 (646)"
16031,"""Cassia, (ID)""",70.5,"61.9 - 70.5 (645)"
16033,"""Clark, (ID)""",64.8,"61.9 - 70.5 (645)"
16037,"""Custer, (ID)""",57.3,"0.0 - 61.8 (645)"
16039,"""Elmore, (ID)""",69.5,"61.9 - 70.5 (645)"
16041,"""Franklin, (ID)""",70.9,"70.6 - 77.9 (646)"
16043,"""Fremont, (ID)""",73.6,"70.6 - 77.9 (646)"
16045,"""Gem, (ID)""",65.5,"61.9 - 70.5 (645)"
16047,"""Gooding, (ID)""",70.5,"61.9 - 70.5 (645)"
16051,"""Jefferson, (ID)""",75.5,"70.6 - 77.9 (646)"
16053,"""Jerome, (ID)""",71.6,"70.6 - 77.9 (646)"
16063,"""Lincoln, (ID)""",59.6,"0.0 - 61.8 (645)"
16065,"""Madison, (ID)""",72.8,"70.6 - 77.9 (646)"
16067,"""Minidoka, (ID)""",70.9,"70.6 - 77.9 (646)"
16071,"""Oneida, (ID)""",71.8,"70.6 - 77.9 (646)"
16073,"""Owyhee, (ID)""",69.6,"61.9 - 70.5 (645)"
16075,"""Payette, (ID)""",64.2,"61.9 - 70.5 (645)"
16077,"""Power, (ID)""",73.8,"70.6 - 77.9 (646)"
16081,"""Teton, (ID)""",70.8,"70.6 - 77.9 (646)"
16083,"""Twin Falls, (ID)""",69.6,"61.9 - 70.5 (645)"
16087,"""Washington, (ID)""",53.1,"0.0 - 61.8 (645)"
32001,"""Churchill, (NV)""",76.7,"70.6 - 77.9 (646)"
